Día,Acciones de Negocio,Desarrollo Personal y Mentalidad
Día 1: Definición de Nicho y Objetivo,"1. Define tu nicho específico (quién, qué problema, qué resultado). 2. Define tu avatar ideal (demografía, dolores, deseos, objeciones). 3. Define tu objetivo de ingresos a 30/90/365 días. 3. Escribe tu 'Por qué' profundo (propósito).","1. Journaling: ¿Por qué este negocio? ¿Qué vida quiero? 2. Define 3 valores inquebrantables. 3. Meditación 10 min: visualiza tu día ideal dentro de 1 año."
Día 2: Investigación y Validación de Mercado,"1. Entrevista a 5-10 avatares ideales (llamadas de 15-20 min). Preguntas: mayor dolor, solución ideal, qué han probado, qué pagarían. 2. Analiza 5-10 competidores: oferta, precio, promesa, gaps. 3. Busca palabras clave (Google Trends, AnswerThePublic, AnswerSocrates).","1. Journaling: ¿Qué miedos aparecen al hablar con desconocidos? 2. Lee 10 páginas de 'The Mom Test' (Rob Fitzpatrick) o 'The Mom Test' résumé. 3. Camina 30 min sin teléfono: observa tus pensamientos."
Día 3: Validación de la Oferta (Smoke Test),"1. Crea una 'Offer One-Pager': Avatar, Problema, Promesa, Mecanismo único, Precio, Garantía, Bonos. 2. Crea una Landing Page sencilla (Carrd, Carrd, Notion + Super, Carrd.co) con formulario de lista de espera/pre-venta. 3. Lanza a tu lista de contactos / 20 contactos directos / $20-50 en ads. Meta: 10-20 leads o 1-2 pre-ventas.","1. Journaling: ¿Qué resistencia siento al pedir la venta? 2. Lee 'The Mom Test' cap. 'The Mom Test' (cap. 3-4). 3. Frío/ducha fría 2 min: exposición al malestar controlado."
Día 4: Definición de la Oferta Irresistible,"1. Define tu 'Mecanismo Único' (tu método propietario). 2. Estructura la oferta: Core Product + Bonos + Garantía + Soporte. 3. Define precio (ancla alto, pago único vs. recurrente). 4. Escribe tu 'Promesa Principal' (resultado medible + plazo + condición).","1. Journaling: ¿Qué me hace único? ¿Qué he superado que otros no? 2. Lee 'The 100M Offers' (Alex Hormozi) caps. 1-3. 3. Ejercicio: Escribe tu 'Obituario ideal' (qué quieres que digan de ti)."
Día 5: Creación del MVP (Producto Mínimo Viable),"1. Define el alcance mínimo del MVP (curso mini, plantilla, taller en vivo, consultoría 1:1 pilot). 2. Crea outline del contenido (módulos, lecciones, entregables). 3. Graba/produce Módulo 0 (Bienvenida) + Módulo 1. 3. Sube a plataforma (Notion, Notion, Gumroad, Kajabi, School, Circle).","1. Journaling: Perfeccionismo vs. Progreso. ¿Qué significa 'hecho es mejor que perfecto' para mí? 2. Lee 'Atomic Habits' (James Clear) Cap. 1-2 (Sistemas vs Metas, Hábitos basados en identidad). 3. Ejercicio: Define tu 'Identidad de Emprendedor Exitoso' (Yo soy alguien que...)."
Día 6: Sistema de Captura de Leads (Lead Magnet + Embudo), "1. Crea Lead Magnet (PDF, Checklist, Mini-curso, Plantilla, Mini-taller gratis) que resuelva un micro-problema del avatar. 2. Configura Landing Page de captura (ConvertKit, Kit, Beehiiv, MailerLite, Systeme.io). 3. Configura secuencia de bienvenida (5 emails: Entrega + Historia + Autoridad + Caso de estudio + Oferta suave). 3. Instala píxel/Meta Pixel / GA4.","1. Journaling: ¿Qué historia personal conecta con el dolor de mi avatar? 2. Lee 'Expert Secrets' (Russell Brunson) Cap. 'The Epiphany Bridge'. 3. Práctica: Graba 1 min de video hablando a cámara (sin editar) sobre tu 'por qué'."
Día 7: Lanzamiento Suave (Soft Launch) a Lista de Espera / Contactos,"1. Envía email de lanzamiento a lista de espera/contactos: Historia + Oferta + Escasez real (plazas/bono por tiempo). 2. Realiza llamadas de cierre / VSL a interesados (meta: 3-5 ventas beta). 3. Onboard a primeros clientes beta (onboarding doc, acceso, expectativas). 3. Recoge feedback inmediato (Formulario Typeform/Google Forms).","1. Journaling: Revisión semanal: ¿Qué funcionó? ¿Qué no? ¿Qué aprendí? ¿Qué ajustaré? 2. Revisa métricas: Leads, Llamadas, Ventas, Feedback. 3. Planifica semana 2: 3 prioridades absolutas. 4. Descansa: Día sin pantallas (o mínimo 4h)."
Día 8: Onboarding y Entrega Excepcional (Semana 2 - Entrega),"1. Onboarding estructurado: Welcome pack, Mapa de ruta, Accesos, Expectativas, Próximo paso. 2. Entrega Módulo 1-2 (si curso) / Sesión 1-2 (si consulting/coaching). 3. Check-in día 3 y 7 con clientes beta (formulario corto + llamada 15 min opcional). 3. Documenta todo: FAQs, obstáculos comunes, mejoras.","1. Journaling: ¿Cómo me siento sirviendo a mis primeros clientes? ¿Miedo a defraudar? 2. Lee 'The E-Myth Revisited' (Gerber) - Cap. 'The Turn-Key Revolution'. 3. Ejercicio: Define tu 'Proceso de Entrega Estándar' (checklist paso a paso)."
Día 9: Recopilación de Testimonios y Casos de Estudio,"1. Envía formulario de testimonio guiado (Preguntas: Situación antes, Por qué compró, Resultado, Qué le gustó, A quién recomendaría). 2. Entrevista a 1-2 clientes beta para Case Study profundo (Antes/Después, Métricas, Proceso). 3. Edita y formatea testimonios (video/texto + foto + resultado).","1. Journaling: Síndrome del impostor - escríbelo, raciónalo, refrámalo. 2. Lee 'Building a StoryBrand' (Miller) - Cap. 'The Character'. 3. Práctica gratitud: Escribe 3 logros de la semana (por pequeños que sean)."
Día 10: Refinamiento de Oferta y Precio (Basado en Datos),"1. Analiza feedback: ¿Qué valora más? ¿Qué falta? ¿Objeciones repetidas? 2. Ajusta oferta: Añade/quita módulos, ajusta bonos, refina promesa, sube precio si valor > precio. 3. Actualiza One-Pager, VSL, Página de ventas. 3. Define tu 'Valor de Vida del Cliente' (LTV) objetivo.","1. Journaling: Revisión de precios - ¿Cobro poco por miedo? 2. Lee '100M Offers' Cap. 'Grand Slam Offer' (Grand Slam Offer Checklist). 3. Ejercicio: Escribe tu 'Garantía Incondicional' (reversa el riesgo)."
